"Element CSS selector","Total # of clicks","Visible in image","% of total"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-dots>button.ssr-carousel-dot-button>span.ssr-carousel-dot-icon","2","No","0.05%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__results-panel>div.header-search__product-results>div.ais-Hits>div.product-results>div.sf-product-card.product-results__product-card>div.sf-product-card__image-wrapper>a.sf-link.sf-button--pure.sf-product-card__link.sf-button>img.sf-product-card__image.product-results__product-card__image (7)","2","No","0.05%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>div.sf-footer-column__content.sf-footer-column__content--hidden-on-mobile>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item>span.sf-menu-item__label (14)","2","Yes","0.05%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__top>div.cart-sidebar__top>div.cart-sidebar__top-controls>div.top-bar-summary>div.top-bar-summary__store-select-search>div.top-bar-summary__store-select-search__input-wrapper>button.top-bar-summary__store-select-search__location-btn>div.sf-loader>svg>path","2","No","0.05%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__overlay.sf-overlay","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>button.sf-button--pure.sf-header__action.sf-header__action--search.sf-button>span.sf-header__icon__search.sf-icon>svg","2","Yes","0.05%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper>div>button.mobile-menu-sidebar__nav-item.mobile-menu-sidebar__nav-item--primary.sf-button--pure.sf-menu-item.sf-button>svg","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (49)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons.sf-header__icons--inverse>div.account-dropdown__wrapper>div.sf-dropdown>button.sf-button--pure.sf-header__action.sf-header__action--account.sf-button","2","Yes","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.app-header__level-two-featured-tiles>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>div.app-header-featured-tile__title","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.product-slider>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing.no-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.product_card_slider_wrapper>div.product-card>a.product-card__image-wrapper>img (5)","2","No","0.05%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__results-panel>div.header-search__product-results>div.ais-Hits>div.product-results>div.sf-product-card.product-results__product-card>div.sf-product-card__image-wrapper>a.sf-link.sf-button--pure.sf-product-card__link.sf-button>img.sf-product-card__image.product-results__product-card__image (4)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>a.sf-header__logo.app-header__desktop-logo.nuxt-link-exact-active.nuxt-link-active.sf-header__logo--inverse>svg>path (5)","2","Yes","0.05%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.w-full>div.image-wrapper.image-wrapper--square>img.square (8)","2","Yes","0.05%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__results-panel>div.header-search__product-results>div.ais-Hits>div.product-results>div.sf-product-card.product-results__product-card>div.sf-product-card__image-wrapper>a.sf-link.sf-button--pure.sf-product-card__link.sf-button>img.sf-product-card__image.product-results__product-card__image (11)","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light>span.btn__text (1)","2","No","0.05%"
"*[name=""NordPassAutoSaveDialogWrapper""]","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (29)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons>button.sf-button--pure.sf-header__action.sf-header__action--cart.sf-button>span.sf-badge--number.cart-badge.sf-badge","2","No","0.05%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__content>div.my-cart>div.cart-sidebar__items>div>div.cart-item>div.cart-item__image-wrapper>a.sf-link.cart-item__image>img (1)","2","No","0.05%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--dark.dark.text-center (1)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu (2)","2","No","0.05%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary.is-active>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column.is-active>div.sf-mega-menu-column__content>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item.mobile-menu-sidebar__nav-item>span.sf-menu-item__label (1)","2","No","0.05%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (47)","2","No","0.05%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div.form>span>form.form>div.register-step-two-wrapper>span>div.sf-input.form__element>div.sf-input__wrapper>label.sf-input__label.will-change","2","No","0.05%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__content>div.my-cart>div.cart-sidebar__items>div>div.cart-item>div.cart-item__content>div.cart-item__title>a.sf-link.cart-item__product-link (4)","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.dark.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-dark>span.btn__text","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.app-header__level-two-featured-tiles>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content (2)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>a.sf-header__logo.app-header__mobile-logo.nuxt-link-exact-active.nuxt-link-active.sf-header__logo--inverse>svg>path (2)","2","No","0.05%"
"div#cr-notification>div>div.sc-cmthru.gKFSif>div.sc-iQNlJl.dRlhWr>div.sc-bsbRJL.ldlbTW>div.sc-hZSUBg.kpSFWy>button.sc-bdVaJa.kMdzQe","2","No","0.05%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.product-slider-wrapper.render-wrapper.storyblok__outline","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-dots>button.ssr-carousel-dot-button","2","Yes","0.05%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.product-slider>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing.no-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.product_card_slider_wrapper>div.product-card>a.product-card__image-wrapper>img (9)","2","No","0.05%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__bottom>div>div.cart-sidebar__discount_message","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three (1)","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left (2)","2","No","0.05%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__results-panel>div.header-search__product-results>div.ais-Hits>div.product-results>div.sf-product-card.product-results__product-card>div>div.title-price-wrap.flex.between-xs","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons>div.account-dropdown__wrapper>div.sf-dropdown>button.sf-header__action--account-logged-in.sf-button--pure.sf-header__action.sf-header__action--account.sf-button>svg","2","No","0.05%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper.navigation-wrapper--open>div>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>div.sf-mega-menu-column>div>button.mobile-menu-sidebar__nav-item.sf-button--pure.sf-menu-item.sf-button>span.sf-menu-item__label (2)","2","No","0.05%"
"#last-name","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (67)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (43)","2","No","0.05%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.card-overlay.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light (2)","2","Yes","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three (3)","2","No","0.05%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.enabled-topbar.app-header__wrapper--background-active>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>button.app-header__primary-nav-item.sf-button--pure.sf-menu-item.sf-button","1","No","0.02%"
"div#my-account>div.menu>div>menu.menu>a.sf-link>li (4)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content (39)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.enabled-topbar.app-header__wrapper--background-active>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>a.sf-header__logo.app-header__desktop-logo.nuxt-link-active>svg>path (4)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper","1","Yes","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.enabled-topbar.app-header__wrapper--background-active>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>a.sf-header__logo.app-header__desktop-logo.nuxt-link-active>svg","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (33)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button>div (20)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>a.sf-link.sf-menu-item.app-header__nav-item-level-two__button (3)","1","No","0.02%"
"div#layout>div.dynamic-page.page-leave.page-leave-active>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>div.app-header-featured-tile__title (32)","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.w-full>div.content-wrapper>div.storyblok__outline>div.render-wrapper.lockup.mobile--dark.dark.text-left>h3.title.h4","1","Yes","0.02%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div.form>span>form.form>span>div.email-wrapper.readOnly>button.sf-button--text.back-to-signup.form__element.sf-button","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-right>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>h3.title.h2","1","No","0.02%"
"div#__layout>div>div.footer-wrapper>footer.sf-footer.footer__sf-footer>div.sf-footer__container>div.sf-footer-column>div.sf-footer-column__content>ul.sf-list>li.sf-list__item>a.sf-link.sf-menu-item (5)","1","No","0.02%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>aside.sf-sidebar__aside>div.sf-sidebar__content>div.navigation-wrapper>div>button.mobile-menu-sidebar__nav-item.mobile-menu-sidebar__nav-item--primary.sf-button--pure.sf-menu-item.sf-button>span.sf-menu-item__label (1)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content (1)","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center>div.flex.wow.lockup__cta>button.btn.btn--mobile-outline-light.btn--outline-light (1)","1","No","0.02%"
"div#__layout>div>div>div.header-search.header-search--refinement>div.ais-InstantSearch.ais-InstantSearch--ssr>div.header-search__wrapper.wrapper.relative.ais-Autocomplete>div.header-search__content>div.header-search__results>div.header-search__results-panel>div.header-search__product-results>div.ais-Hits>div.product-results>div.sf-product-card.product-results__product-card>div>div.colors-wrapper.swatches-wrap>a.link-swatch-item>span.sf-image--wrapper>span.sf-image--overlay.display-none (34)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (32)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content (48)","1","No","0.02%"
"div#layout>div.dynamic-page>div>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.product-slider>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing.no-mask>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.product_card_slider_wrapper>div.product-card>a.product-card__image-wrapper>img (9)","1","No","0.02%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__content>div.my-cart>div.cart-sidebar__items>div>div.cart-item>div.cart-item__content>div.cart-item__quantity>div.sf-collected-product__quantity-selector.sf-quantity-selector>button.sf-button--pure.sf-quantity-selector__button.sf-button (4)","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>div.app-header-featured-tile__title (22)","1","No","0.02%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.product-slider-wrapper.render-wrapper.storyblok__outline>div.title-wrapper>span (1)","1","No","0.02%"
"div#__layout>div>div.sf-sidebar.mobile-menu-sidebar.sf-sidebar--left>div.sf-overlay","1","No","0.02%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>div.app-header__nav-item-level-two__featured>div.app-header__featured-items>ul.app-header__featured-items__tiles.app-header__featured-items__tiles-2-2>li.app-header__featured-items__tile.app-header__featured-items__tile--ratio-1-1>a.sf-link.app-header-featured-tile>div.app-header-featured-tile__content>span.app-header-featured-tile__cta>span.app-header-featured-tile__cta__icon>img (4)","1","No","0.02%"
"div#__layout>div>div>div.header-search.header-search--refinement","1","No","0.02%"
