"Element CSS selector","Total # of clicks","Visible in image","% of total"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__bottom>div>a.sf-link.cart-sidebar__continue-link>button.cart-sidebar__continue-button.btn.btn--mobile-undefined.btn--dark","20","No","0.48%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>button.app-header__primary-nav-item.sf-button--pure.sf-menu-item.sf-button.app-header__primary-nav-item--inverse>span.sf-menu-item__label","19","Yes","0.46%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>div.navigation-wrapper>ul.sf-list.app-header__primary-nav-items>li>div.sf-mega-menu.nav-primary>div.sf-mega-menu__content>div.sf-mega-menu__menu>ul.sf-list.app-header__nav-items-level-two>li.app-header__nav-item-level-two>ul.sf-list.app-header__nav-items-level-three>li.app-header__nav-item-level-three>a.sf-link.sf-menu-item.app-header__nav-item-level-three__button>span.sf-menu-item__label (65)","19","No","0.46%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.w-full>div.image-wrapper.image-wrapper--square>img.square (1)","18","No","0.44%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>div.sf-overlay","18","No","0.44%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left>div.storyblok__outline>div.render-wrapper.lockup.mobile--light.light.text-center","16","No","0.39%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.render-wrapper.slider-wrapper.wow.banner-slider.w-full>div.ssr-carousel>div.ssr-carousel-slides>div.ssr-carousel-mask.pressing>div.ssr-carousel-track>div.slide.ssr-carousel-slide>div.storyblok__outline>a.render-wrapper.banner.w-full.wow>div.content-wrapper.content-wrapper--content-left (1)","16","No","0.39%"
"div#cart>div.sf-sidebar.cart-sidebar.sf-sidebar--right.sf-sidebar--right>aside.sf-sidebar__aside>div.sf-sidebar__bottom>div>a.sf-link.cart-sidebar__continue-link>button.cart-sidebar__continue-button.btn.btn--mobile-undefined.btn--dark>span.btn__text","16","No","0.39%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons.sf-header__icons--inverse>button.sf-button--pure.sf-header__action.sf-header__action--cart.sf-button","16","Yes","0.39%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>nav.sf-header__navigation>a.sf-header__logo.app-header__desktop-logo.nuxt-link-active>svg","16","No","0.39%"
"div#layout>div.dynamic-page>div.storyblok__outline>div.section-wrapper.w-100.render-wrapper.storyblok__outline>div.grid-container.grid-gap>div.grid-item>div.storyblok__outline>a.render-wrapper.card.w-full>div.image-wrapper.image-wrapper--square>img.square (2)","15","No","0.36%"
"div#__layout>div>section.sf-modal.modal>div.sf-modal__container>div.sf-modal__content>div>span>form.form>span>div.sf-input.form__element>div.sf-input__wrapper>label.sf-input__label.will-change","15","No","0.36%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons.sf-header__icons--inverse>div.account-dropdown__wrapper>div.sf-dropdown>div.sf-dropdown__container>div.account-dropdown__content--wrapper.text-center.logged-in>a.account-dropdown__link-item","15","No","0.36%"
"div#__layout>div>div>div.sf-header.sf-header--has-mobile-search.app-header__wrapper.is-sticky.enabled-topbar>div.sf-header__wrapper>header.sf-header__header>div.sf-header__actions>div.sf-header__icons.sf-header__icons--inverse>div.account-dropdown__wrapper>div.sf-dropdown>button.sf-header__action--account-logged-in.sf-button--pure.sf-header__action.sf-header__action--account.sf-button>svg","15","No","0.36%"
